# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
1.601e+12,2.103,0.215,0.096,5,2013-04-04T00:38:41.94
3.770e+11,1.684,0.000,0.000,1,2013-04-04T15:10:57.99
2.148e+13,2.855,0.168,0.043,15,2013-04-06T14:35:54.68
6.439e+12,2.506,0.412,0.238,3,2013-04-09T11:58:09.05
7.125e+12,2.535,0.000,0.000,1,2013-04-11T03:47:18.41
1.148e+12,2.007,0.119,0.084,2,2013-04-11T05:07:36.33
2.858e+11,1.604,0.000,0.000,1,2013-04-11T05:08:41.36
4.643e+13,3.078,0.263,0.070,14,2013-04-11T05:16:12.35
6.103e+12,2.490,0.000,0.000,1,2013-04-11T07:30:02.04
3.488e+12,2.328,0.200,0.089,5,2013-04-12T05:17:23.29
5.500e+12,2.460,0.116,0.039,9,2013-04-13T11:50:37.13
2.734e+12,2.258,0.230,0.103,5,2013-04-13T13:36:18.18
1.451e+12,2.075,0.209,0.105,4,2013-04-14T07:19:39.16
3.692e+17,5.678,0.000,0.000,1,2013-04-15T15:06:26.94
5.705e+11,1.804,0.000,0.000,1,2013-04-15T15:24:09.42
4.337e+17,5.725,0.000,0.000,1,2013-04-16T06:57:06.09
5.072e+12,2.437,0.190,0.067,8,2013-04-16T18:56:29.64
7.320e+12,2.543,0.155,0.047,11,2013-04-18T05:31:27.22
4.216e+12,2.383,0.000,0.000,1,2013-04-18T22:14:56.90
6.222e+13,3.163,0.191,0.034,32,2013-04-19T06:14:32.13
6.091e+11,1.823,0.000,0.000,1,2013-04-19T08:45:27.22
5.001e+11,1.766,0.000,0.000,1,2013-04-19T16:35:24.35
3.461e+11,1.659,0.090,0.040,5,2013-04-20T09:07:02.90
2.237e+12,2.200,0.001,0.001,2,2013-04-22T21:28:35.40
2.177e+12,2.192,0.000,0.000,1,2013-04-22T22:09:43.44
3.716e+11,1.680,0.126,0.063,4,2013-04-23T10:49:00.38
3.293e+12,2.312,0.141,0.063,5,2013-04-23T23:23:12.79
3.058e+12,2.290,0.190,0.067,8,2013-04-24T10:39:07.49
8.120e+12,2.573,0.208,0.093,5,2013-04-24T13:40:29.00
1.571e+12,2.097,0.203,0.045,20,2013-04-26T06:47:02.11
2.182e+12,2.193,0.061,0.043,2,2013-04-26T17:04:53.47
6.979e+11,1.863,0.050,0.036,2,2013-04-26T20:49:17.79
1.368e+12,2.057,0.176,0.088,4,2013-04-28T20:00:28.24
3.310e+12,2.313,0.302,0.101,9,2013-04-28T20:47:54.22
4.774e+12,2.419,0.167,0.050,11,2013-05-01T04:03:11.20
1.099e+12,1.994,0.207,0.062,11,2013-05-02T12:40:04.07
2.694e+12,2.254,0.477,0.275,3,2013-05-02T20:09:11.40
2.935e+12,2.278,0.000,0.000,1,2013-05-02T23:28:05.44
7.069e+13,3.200,0.221,0.045,24,2013-05-03T06:17:06.71
4.488e+12,2.401,0.000,0.000,1,2013-05-04T00:26:41.06
2.193e+12,2.194,0.004,0.003,2,2013-05-04T08:13:39.49
1.192e+14,3.351,0.000,0.000,1,2013-05-04T09:48:25.26
3.716e+12,2.347,0.135,0.055,6,2013-05-05T06:39:13.58
8.771e+12,2.595,0.272,0.076,13,2013-05-05T08:55:07.23
8.908e+11,1.933,0.089,0.063,2,2013-05-05T15:40:32.94
4.294e+12,2.389,0.000,0.000,1,2013-05-05T21:47:16.15
